"chapter","section","topic","menu","name_1e","name_2","name_2_raw","signature"
"9","9.3.1 / 9.4.1","Degree centrality (in/out, normalized)","Network|Centrality|Degree","xDegreeCentrality","xdegree","xdegree","xdegree(net, directed=NULL, normalize=TRUE)"
"9","9.3.2 / 9.4.2","Eigenvector centrality","Network|Centrality|Eigenvector","xEigenvectorCentrality","xeigenvector","xeigenvector","xeigenvector(net, directed=NULL, normalize=TRUE)"
"9","9.3.3 / 9.4.2","Beta (Bonacich power) centrality","Network|Centrality|Beta Centrality (Bonacich Power)","xBetaCentrality","xbeta","xbeta","xbeta(net, beta=, directed=NULL)"
"9","9.3.4 / 9.4.4","Closeness centrality (Freeman, reciprocal, harmonic; disconnected options)","Network|Centrality|Closeness Measures","xClosenessCentrality","xcloseness","xcloseness","xcloseness(net, method=c(""freeman"",""reciprocal"",""harmonic"",""valente""), directed=NULL)"
"9","9.3.5","Beta-reach centrality","Network|Centrality|Beta Reach","xBetaReachCentrality","xbetareach","xbetareach","xbetareach(net, beta=, directed=NULL)"
"9","9.3.5 / 9.4.4","k-step reach centrality","Network|Centrality|Reach","xReachCentrality","xreach","xreach","xreach(net, k=2, directed=NULL)"
"9","9.3.6","Betweenness centrality","Network|Centrality|Freeman Betweenness|Node Betweenness","xBetweennessCentrality","xbetweenness","xbetweenness","xbetweenness(net, directed=NULL, normalize=TRUE)"
"9","9.4.3","Hubs and authorities (new in 3e)","Network|Centrality|Hubs & Authorities","(none)","xhubsauthorities","xhubsauthorities","xhubsauthorities(net)"
"9","9.6.1","PN centrality (negative ties)","Network|Centrality|PN","xPNCentrality","xpncentrality","xpncentrality","xpncentrality(net, positive=, negative=)"
"9","9.7","Induced centrality","Network|Centrality|Induced","xInducedCentrality","xinduced","xinduced","xinduced(net, measure=c(""density"",""components"",...))"
"10","10.2.1","Density, average degree","Network|Whole Networks|Density|Density Overall","xDensity","xdensity","xdensity","xdensity(net, directed=NULL, weighted=NULL)"
"10","10.2.2","Reciprocity (dyad-based and arc-based)","Network|Whole Networks|Reciprocity","xReciprocity","xreciprocity","xreciprocity","xreciprocity(net, method=c(""dyad"",""arc""))"
"10","10.2.3","Transitivity; cyclicality","Network|Whole Networks|Transitivity; ...|Cyclicality","xTransitivity, xCyclicality","xtransitivity","xtransitivity, xcyclicality","xtransitivity(net, directed=NULL); xcyclicality(net)"
"10","10.3.1","Components; component ratio; fragmentation; connectedness","Network|Regions|Components; Network|Whole Networks|Multiple Measures","xComponents, xConnectedness, xFragmentation","xcomponents","xcomponents, xcohesion","xcomponents(net, type=c(""weak"",""strong"")); xcohesion(net)"
"10","10.3.1","Key player (fragmentation-based node removal)","Network|Keyplayer","(none)","xkeyplayer","xkeyplayer","xkeyplayer(net, k=, goal=c(""fragment"",""reach""))"
"10","10.3.2","Distance-based: average distance, compactness, breadth, proportion reachable","Network|Whole Networks|Multiple Measures","xAverageDistance, xCompactness, xBreadth, xProportionReach","xcohesion","xcohesion","xcohesion(net)"
"10","10.4","Centralization (for any centrality measure)","Network|Whole Networks|Centralization","xCentralization","xcentralization","xcentralization","xcentralization(net, measure=c(""degree"",""closeness"",""betweenness"",""eigenvector""))"
"10","10.4","Core-peripheriness (continuous CP correlation as a whole-network measure)","Network|Core/Periphery|Continuous","xContinuousCorePeriphery (used here as a score)","xcoreperiphery","xcoreperiphery","xcoreperiphery(net, type=""continuous"")$fit"
"10","10.5","Density by groups; homophily (E-I index etc.)","Network|Mixing/Density Tables; Network|Whole Networks|Homophily|Categorical","xGroupsCohesion (0.x: xGroupHomophily)","xdensitybygroups","xdensitybygroups, xhomophily","xdensitybygroups(net, attribute); xhomophily(net, attribute)"
"11","11 (all)","Umbrella community-detection call","(none)","(none)","xcommunities","xcommunities","xcommunities(net, method=c(""louvain"",""fastgreedy"",""girvannewman"",""labelpropagation"",""factions""))"
"11","11.2 / 11.2.1","Cliques, clique co-membership, clique overlap","Network|Communities/Subgroups|Cliques","xCliques, xCliqueComembership, xCliqueOverlap (0.x: xCliquesMembership, xCliquesCoMembership, xCliquesOverlap)","xcliques","xcliques","xcliques(net, min=3)"
"11","11.2.2","Bimodal method (cliques + clustering of co-membership; new in 3e)","Cliques + Johnson's Hierarchical Clustering","(none)","xcliques","xcliques + xhclust","xhclust(xcliques(net)$comembership)"
"11","11.3","Girvan–Newman","Network|Communities/Subgroups|Girvan-Newman","xGirvanNewman","xgirvannewman","xgirvannewman","xgirvannewman(net, k=NULL)"
"11","11.4.1","Factions","Network|Communities/Subgroups|Factions","(none)","xfactions","xfactions","xfactions(net, k=)"
"11","11.4.1","Fast greedy modularity","Network|Communities/Subgroups|Fast Greedy","xFastGreedy","xfastgreedy","xfastgreedy","xfastgreedy(net)"
"11","11.4.1","QuickClus (3e only)","Network|Communities/Subgroups|QuickClus","(none)","drop","(drop?)",""
"11","11.4.2","Louvain","Network|Communities/Subgroups|Louvain Method","xLouvainMethod","xlouvain","xlouvain","xlouvain(net, resolution=1)"
"11","11.4.2 (ASNR)","Walktrap (ASNR only; not in 3e)","(none)","xWalkTrap (index: xWalktrap)","xwalktrap","xwalktrap","xwalktrap(net)"
"11","11.5","Label propagation","Network|Communities/Subgroups|LabelPropagation","xLabelProp (index: xLabelPropagation; 0.x: xLabelPropagation)","xlabelpropagation","xlabelpropagation","xlabelpropagation(net)"
"12","12.2 / 12.3","Structural equivalence, profile similarity","Network|Roles & Positions|Structural Equivalence|Profile","xStructuralEquivalence, xProfileSimilarity","xstructuralequivalence","xstructuralequivalence","xstructuralequivalence(net, method=c(""correlation"",""euclidean"",""match""), cluster=TRUE)"
"12","12.4","Blockmodel display: permuted matrix, density table, image matrix","Network|Mixing Tables|Density by Groups","xCombineNodes, xDisplayBlocked","xblockmodel","xblockmodel","xblockmodel(net, partition)"
"12","12.5","Structural-equivalence optimization","Network|Roles & Positions|Structural Equivalence|Optimization","xBlockOptimize (index: xBlockOptimization)","xblockoptimize","xblockoptimize","xblockoptimize(net, k=, type=""structural"")"
"12","12.6","Regular-equivalence optimization","Network|Roles & Positions|Maximum Regular|Optimization","xBlockOptimize","xblockoptimize","xblockoptimize","xblockoptimize(net, k=, type=""regular"")"
"12","12.7","REGE","Network|Roles & Positions|Maximum Regular|REGE","xREGE","xrege","xrege","xrege(net, iterations=3)"
"12","12.8","Core–periphery, categorical and continuous","Network|Core/Periphery|Categorical; ...|Continuous","xDiscreteCorePeriphery, xContinuousCorePeriphery (also xConcentration, xEigenvector in 1e text)","xcoreperiphery","xcoreperiphery","xcoreperiphery(net, type=c(""categorical"",""continuous""), k=NULL)"
"13","13.2 / 13.3","Two-mode to one-mode (affiliations), incl. valued/normalized variants","Data|Affiliations (2-mode to 1-mode)","xTwoModeToOneMode (index: xTwomodeToOnemode)","xaffiliations","xaffiliations","xaffiliations(net, mode=c(""rows"",""cols""), method=c(""crossproduct"",""minimum"",""jaccard"",""bonacich"",""correlation""))"
"13","13.4","Two-mode to bipartite","Transform|Graph Theoretic|Bipartite","xTwoModeToBipartite","xbipartite","xbipartite","xbipartite(net)"
"13","13.5","Bi-cliques","Network|2-mode Networks|BiCliques","xBiCliques, xBiComembership","xbicliques","xbicliques","xbicliques(net, min_rows=3, min_cols=3)"
"13","13.5.1","Dual-projection Louvain (2-mode)","(2-mode Louvain in recent UCINET)","xDualLouvainMethod","xlouvain","xlouvain (2-mode aware)","xlouvain(net)  # detects 2-mode"
"13","13.6","Two-mode core–periphery","(2-mode core/periphery in recent UCINET)","xDualCorePeriphery, xDualDiscreteCorePeriphery","xcoreperiphery","xcoreperiphery (2-mode aware)","xcoreperiphery(net, type=)"
"13","13.7.1 / 13.7.2","Two-mode structural / regular equivalence","Tools|Similarities & Distances + hierarchical clustering; REGE","(none)","xsimilarities","xsimilarities, xhclust, xrege",""
"14","14.3","Group-level tests (regression across groups: classic and permutation)","Tools|Testing Hypotheses|Node-level|Regression","xPermuteRegression","xregression","xregression","xregression(y ~ x, data, nperm=5000)  # nperm=0 gives the classical test"
"14","14.4","Node-level permutation correlation / regression","Tools|Testing Hypotheses|Node-level|Regression","xPermuteCorrelation, xPermuteRegression (index: xPermuteCor; overview: xCorrelation, xRegression)","xcorrelation","xcorrelation, xregression","xcorrelation(x, y, nperm=5000); xregression(y ~ x1 + x2, data, nperm=5000)"
"14","14.4","Network autoregressive model","Tools|Testing Hypotheses|Node-level|Autoregressive Model","xAutoRegression (index: xAutoregression)","xautoregression","xautoregression","xautoregression(y ~ x, data, net, model=c(""lag"",""error""))"
"14","14.5.1","QAP correlation","Tools|Testing Hypotheses|Dyadic (QAP)|QAP Correlation","xQAPCorrelation","xqap","xqap","xqap(net1, net2, nperm=5000, method=c(""pearson"",""jaccard"",...))"
"14","14.5.2","QAP (MR-QAP) regression, Double Dekker semi-partialling","Tools|Testing Hypotheses|Dyadic (QAP)|MR-QAP Linear Regression|Double Dekker","xQAPRegression (glossary: xMRQAP)","xmrqap","xmrqap","xmrqap(y ~ x1 + x2, nets, nperm=2000, method=c(""dsp"",""yperm""))"
"14","14.5.2","QAP logistic regression","Tools|Testing Hypotheses|Dyadic (QAP)|LR-QAP Logistic Regression","xQAPLogisticRegression (glossary: xLRQAP)","xlrqap","xlrqap","xlrqap(y ~ x1 + x2, nets, nperm=2000)"
"14","5.5.8 / 10.5","ANOVA density model (mixed dyadic–nodal, categorical)","Tools|Testing Hypotheses|Mixed Dyadic-Nodal|Categorical","(none)","xdensitybygroups","xdensitybygroups(test=TRUE)","xdensitybygroups(net, attribute, test=TRUE, nperm=)"
"15","15.x","ERGMs","(none — 3e ch 15 already uses R: statnet/ergm)","(statnet::ergm)","statnet","(statnet)","ergm(as_network(net) ~ edges + ...)"
